Latitude (decimal degrees):	42.218
Longitude (decimal degrees):	-8.762
Elevation (m):	55
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20210913:2210,0.0,0.0,0.0,18.61,1.93,0.0
20210913:2310,0.0,0.0,0.0,18.4,1.66,0.0
20210914:0010,0.0,0.0,0.0,18.27,1.31,0.0
20210914:0110,0.0,0.0,0.0,18.22,1.59,0.0
20210914:0210,0.0,0.0,0.0,18.18,2.07,0.0
20210914:0310,0.0,0.0,0.0,18.17,2.14,0.0
20210914:0410,0.0,0.0,0.0,18.03,2.69,0.0
20210914:0510,0.0,0.0,0.0,18.12,3.24,0.0
20210914:0610,0.0,0.0,0.0,18.36,3.45,0.0
20210914:0710,63.37,112.14,9.79,17.63,1.59,0.0
20210914:0810,260.3,340.44,20.73,18.68,0.97,0.0
20210914:0910,436.79,554.62,31.11,19.82,1.03,0.0
20210914:1010,573.42,739.96,40.31,20.36,1.03,0.0
20210914:1110,410.4,523.94,47.38,20.86,1.17,0.0
20210914:1210,354.97,452.7,51.03,21.17,1.52,0.0
20210914:1310,444.86,568.74,50.25,21.24,1.45,0.0
20210914:1410,595.83,775.38,45.29,20.77,1.03,0.0
20210914:1510,432.54,551.34,37.36,20.92,1.1,0.0
20210914:1610,399.81,514.2,27.67,20.83,0.41,0.0
20210914:1710,7.51,20.31,17.05,20.92,1.1,0.0
20210914:1810,0.0,5.54,6.01,20.33,1.72,0.0
20210914:1910,0.0,0.0,0.0,19.94,1.86,0.0
20210914:2010,0.0,0.0,0.0,19.56,2.28,0.0
20210914:2110,0.0,0.0,0.0,19.24,2.76,0.0
20210914:2210,0.0,0.0,0.0,19.03,2.62,0.0
20210914:2310,0.0,0.0,0.0,18.75,2.55,0.0
20210915:0010,0.0,0.0,0.0,18.66,2.21,0.0
20210915:0110,0.0,0.0,0.0,18.4,1.45,0.0
20210915:0210,0.0,0.0,0.0,18.0,1.31,0.0
20210915:0310,0.0,0.0,0.0,17.86,1.72,0.0
20210915:0410,0.0,0.0,0.0,17.48,1.72,0.0
20210915:0510,0.0,0.0,0.0,17.63,1.93,0.0
20210915:0610,0.0,0.0,0.0,17.98,2.14,0.0
20210915:0710,43.99,74.11,9.6,17.92,2.14,0.0
20210915:0810,250.07,324.3,20.53,18.59,2.34,0.0
20210915:0910,277.75,349.27,30.88,19.46,2.9,0.0
20210915:1010,139.51,186.01,40.04,20.32,2.9,0.0
20210915:1110,112.22,154.15,47.06,21.56,2.9,0.0
20210915:1210,379.42,482.77,50.66,22.37,2.48,0.0
20210915:1310,436.49,556.28,49.86,22.6,2.41,0.0
20210915:1410,345.68,439.74,44.9,23.13,3.03,0.0
20210915:1510,333.99,422.26,37.0,23.01,3.79,0.0
20210915:1610,244.62,312.03,27.33,21.94,4.07,0.0
20210915:1710,208.63,281.61,16.72,21.71,3.79,0.0
20210915:1810,20.64,46.88,5.69,21.31,3.72,0.0
20210915:1910,0.0,0.0,0.0,20.61,4.69,0.0
20210915:2010,0.0,0.0,0.0,19.77,4.48,0.0
20210915:2110,0.0,0.0,0.0,19.07,4.21,0.0
20210915:2210,0.0,0.0,0.0,18.39,4.07,0.0
20210915:2310,0.0,0.0,0.0,17.83,3.86,0.0
20210916:0010,0.0,0.0,0.0,17.44,3.79,0.0
20210916:0110,0.0,0.0,0.0,17.03,3.86,0.0
20210916:0210,0.0,0.0,0.0,16.68,3.86,0.0
20210916:0310,0.0,0.0,0.0,16.41,3.86,0.0
20210916:0410,0.0,0.0,0.0,16.1,3.93,0.0
20210916:0510,0.0,0.0,0.0,15.86,3.86,0.0
20210916:0610,0.0,0.0,0.0,15.79,3.72,0.0
20210916:0710,66.49,117.4,9.41,16.05,3.52,0.0
20210916:0810,276.91,353.71,20.33,17.0,3.79,0.0
20210916:0910,468.08,576.97,30.66,18.32,3.66,0.0
20210916:1010,608.99,763.02,39.77,19.69,3.31,0.0
20210916:1110,654.3,836.12,46.74,21.03,2.9,0.0
20210916:1210,732.53,954.71,50.28,22.0,2.69,0.0
20210916:1310,740.07,967.03,49.46,22.55,2.76,0.0
20210916:1410,679.5,874.77,44.52,22.75,3.17,0.0
20210916:1510,572.9,725.38,36.63,22.82,3.52,0.0
20210916:1610,437.69,551.28,26.98,22.53,3.86,0.0
20210916:1710,209.74,283.37,16.38,21.99,4.07,0.0
20210916:1810,20.89,49.78,5.36,21.06,3.93,0.0
20210916:1910,0.0,0.0,0.0,19.76,3.93,0.0
20210916:2010,0.0,0.0,0.0,18.86,3.66,0.0
20210916:2110,0.0,0.0,0.0,18.16,3.38,0.0
20210916:2210,0.0,0.0,0.0,17.55,2.97,0.0
20210916:2310,0.0,0.0,0.0,16.94,2.69,0.0
20210917:0010,0.0,0.0,0.0,16.31,2.41,0.0
20210917:0110,0.0,0.0,0.0,15.51,2.21,0.0
20210917:0210,0.0,0.0,0.0,15.24,2.14,0.0
20210917:0310,0.0,0.0,0.0,14.89,1.86,0.0
20210917:0410,0.0,0.0,0.0,14.75,1.45,0.0
20210917:0510,0.0,0.0,0.0,14.57,1.17,0.0
20210917:0610,0.0,0.0,0.0,14.43,1.38,0.0
20210917:0710,40.47,67.81,9.22,14.88,1.38,0.0
20210917:0810,93.1,128.5,20.13,16.12,1.79,0.0
20210917:0910,162.88,210.99,30.43,17.22,2.41,0.0
20210917:1010,83.06,117.23,39.5,18.48,3.1,0.0
20210917:1110,116.74,157.84,46.41,19.31,3.72,0.0
20210917:1210,39.22,63.69,49.91,19.48,4.14,0.0
20210917:1310,111.62,151.38,49.06,18.85,4.0,0.0
20210917:1410,239.61,302.68,44.13,18.54,3.52,0.0
20210917:1510,345.32,428.67,36.27,18.76,3.24,0.0
20210917:1610,374.3,464.15,26.64,19.07,3.79,0.0
20210917:1710,137.21,185.93,16.05,18.97,4.62,0.0
20210917:1810,11.66,28.2,5.03,18.37,4.76,0.0
20210917:1910,0.0,0.0,0.0,17.39,4.0,0.0
20210917:2010,0.0,0.0,0.0,16.84,3.59,0.0
20210917:2110,0.0,0.0,0.0,16.32,3.45,0.0
20210917:2210,0.0,0.0,0.0,15.93,3.03,0.0
20210917:2310,0.0,0.0,0.0,15.33,2.62,0.0
20210918:0010,0.0,0.0,0.0,14.84,2.55,0.0
20210918:0110,0.0,0.0,0.0,14.27,2.34,0.0
20210918:0210,0.0,0.0,0.0,13.87,2.07,0.0
20210918:0310,0.0,0.0,0.0,13.38,1.79,0.0
20210918:0410,0.0,0.0,0.0,13.0,1.66,0.0
20210918:0510,0.0,0.0,0.0,12.86,1.66,0.0
20210918:0610,0.0,0.0,0.0,12.86,1.66,0.0
20210918:0710,67.63,119.01,9.03,13.23,1.72,0.0
20210918:0810,277.41,353.18,19.92,14.62,1.86,0.0
20210918:0910,475.39,583.45,30.19,15.71,2.55,0.0
20210918:1010,471.28,579.9,39.23,17.01,3.03,0.0
20210918:1110,482.98,597.15,46.08,17.88,3.38,0.0
20210918:1210,618.5,772.56,49.53,18.63,3.72,0.0
20210918:1310,697.41,875.53,48.67,19.08,4.14,0.0
20210918:1410,659.7,822.13,43.74,19.27,4.41,0.0
20210918:1510,516.31,635.63,35.9,19.12,4.48,0.0
20210918:1610,295.29,367.67,26.29,18.98,4.41,0.0
20210918:1710,203.53,271.41,15.72,18.7,4.34,0.0
20210918:1810,15.02,35.64,4.7,18.16,4.0,0.0
20210918:1910,0.0,0.0,0.0,17.1,3.86,0.0
20210918:2010,0.0,0.0,0.0,16.44,3.66,0.0
20210918:2110,0.0,0.0,0.0,15.86,3.45,0.0
20210918:2210,0.0,0.0,0.0,15.41,3.31,0.0
20210918:2310,0.0,0.0,0.0,14.92,3.17,0.0
20210919:0010,0.0,0.0,0.0,14.51,2.97,0.0
20210919:0110,0.0,0.0,0.0,14.07,2.55,0.0
20210919:0210,0.0,0.0,0.0,13.42,2.14,0.0
20210919:0310,0.0,0.0,0.0,12.65,2.0,0.0
20210919:0410,0.0,0.0,0.0,11.96,2.14,0.0
20210919:0510,0.0,0.0,0.0,11.76,2.48,0.0
20210919:0610,0.0,0.0,0.0,11.83,2.55,0.0
20210919:0710,64.94,113.08,8.84,12.07,1.86,0.0
20210919:0810,275.99,350.52,19.72,14.21,1.93,0.0
20210919:0910,469.92,581.17,29.96,16.05,1.86,0.0
20210919:1010,611.28,769.42,38.95,17.58,2.0,0.0
20210919:1110,683.84,868.89,45.75,18.68,2.62,0.0
20210919:1210,792.17,1022.49,49.15,19.51,2.97,0.0
20210919:1310,783.35,1010.66,48.27,19.92,3.03,0.0
20210919:1410,717.68,908.34,43.35,20.18,3.79,0.0
20210919:1510,605.9,750.26,35.53,19.71,4.55,0.0
20210919:1610,415.68,513.34,25.94,19.37,4.76,0.0
20210919:1710,125.86,172.25,15.38,19.13,4.28,0.0
20210919:1810,10.49,26.72,4.37,18.72,3.52,0.0
20210919:1910,0.0,0.0,0.0,17.32,4.28,0.0
20210919:2010,0.0,0.0,0.0,16.8,4.28,0.0
20210919:2110,0.0,0.0,0.0,16.27,4.21,0.0
20210919:2210,0.0,0.0,0.0,15.86,4.34,0.0
20210919:2310,0.0,0.0,0.0,15.56,4.55,0.0
20210920:0010,0.0,0.0,0.0,15.29,4.69,0.0
20210920:0110,0.0,0.0,0.0,15.06,4.9,0.0
20210920:0210,0.0,0.0,0.0,14.85,5.17,0.0
20210920:0310,0.0,0.0,0.0,14.72,5.31,0.0
20210920:0410,0.0,0.0,0.0,14.57,5.24,0.0
20210920:0510,0.0,0.0,0.0,14.37,5.1,0.0
20210920:0610,0.0,0.0,0.0,14.17,5.03,0.0
20210920:0710,65.21,114.32,8.64,14.22,5.45,0.0
20210920:0810,283.56,356.04,19.51,14.96,5.72,0.0
20210920:0910,491.03,590.59,29.73,16.26,6.55,0.0
20210920:1010,644.09,780.9,38.68,17.85,6.97,0.0
20210920:1110,716.92,881.82,45.42,19.04,6.76,0.0
20210920:1210,759.87,946.37,48.77,19.9,6.28,0.0
20210920:1310,764.26,956.35,47.87,20.54,6.07,0.0
20210920:1410,714.62,887.36,42.96,20.77,6.41,0.0
20210920:1510,579.86,711.21,35.16,20.58,6.76,0.0
20210920:1610,442.99,544.15,25.6,19.95,6.76,0.0
20210920:1710,205.21,274.28,15.05,19.27,6.41,0.0
20210920:1810,13.49,37.6,4.04,18.31,6.28,0.0
20210920:1910,0.0,0.0,0.0,17.41,6.55,0.0
20210920:2010,0.0,0.0,0.0,16.54,6.55,0.0
20210920:2110,0.0,0.0,0.0,15.81,6.07,0.0
20210920:2210,0.0,0.0,0.0,15.24,5.93,0.0
20210920:2310,0.0,0.0,0.0,14.73,5.66,0.0
20210921:0010,0.0,0.0,0.0,14.33,5.52,0.0
20210921:0110,0.0,0.0,0.0,13.98,5.31,0.0
20210921:0210,0.0,0.0,0.0,13.7,5.03,0.0
20210921:0310,0.0,0.0,0.0,13.42,4.55,0.0
20210921:0410,0.0,0.0,0.0,13.09,4.28,0.0
20210921:0510,0.0,0.0,0.0,12.71,4.07,0.0
20210921:0610,0.0,0.0,0.0,12.41,4.07,0.0
20210921:0710,66.44,115.67,8.45,12.5,3.86,0.0
20210921:0810,284.44,356.8,19.3,13.78,4.0,0.0
20210921:0910,497.21,601.53,29.49,15.49,4.55,0.0
20210921:1010,633.68,777.94,38.4,17.15,4.41,0.0
20210921:1110,725.18,910.1,45.09,18.66,4.07,0.0
20210921:1210,770.09,983.65,48.4,19.94,3.72,0.0
20210921:1310,764.33,979.65,47.47,20.93,3.79,0.0
20210921:1410,704.79,895.45,42.57,21.62,4.07,0.0
20210921:1510,587.27,739.37,34.8,22.18,3.93,0.0
20210921:1610,433.52,548.06,25.25,22.58,3.45,0.0
20210921:1710,201.56,275.53,14.71,22.36,3.59,0.0
20210921:1810,11.9,35.46,3.71,21.02,4.76,0.0
20210921:1910,0.0,0.0,0.0,19.39,5.52,0.0
20210921:2010,0.0,0.0,0.0,18.24,5.31,0.0
20210921:2110,0.0,0.0,0.0,17.3,4.48,0.0
20210921:2210,0.0,0.0,0.0,16.41,4.0,0.0
20210921:2310,0.0,0.0,0.0,15.62,3.79,0.0
20210922:0010,0.0,0.0,0.0,14.94,3.72,0.0
20210922:0110,0.0,0.0,0.0,14.43,3.86,0.0
20210922:0210,0.0,0.0,0.0,14.0,3.79,0.0
20210922:0310,0.0,0.0,0.0,13.61,3.66,0.0
20210922:0410,0.0,0.0,0.0,13.23,3.59,0.0
20210922:0510,0.0,0.0,0.0,12.95,3.66,0.0
20210922:0610,0.0,0.0,0.0,12.83,3.66,0.0
20210922:0710,64.64,113.5,8.25,13.08,3.79,0.0
20210922:0810,286.14,360.48,19.09,14.57,3.79,0.0
20210922:0910,486.21,593.68,29.25,16.74,3.93,0.0
20210922:1010,639.08,791.3,38.12,18.55,4.21,0.0
20210922:1110,463.22,574.07,44.76,19.93,4.48,0.0
20210922:1210,614.58,771.08,48.02,20.85,4.48,0.0
20210922:1310,705.43,895.56,47.07,21.49,4.34,0.0
20210922:1410,595.06,749.28,42.18,21.58,4.0,0.0
20210922:1510,515.67,646.0,34.43,21.54,3.66,0.0
20210922:1610,113.69,154.23,24.9,19.71,4.21,0.0
20210922:1710,213.58,287.8,14.38,19.27,4.07,0.0
20210922:1810,8.95,27.37,3.38,18.77,4.28,0.0
20210922:1910,0.0,0.0,0.0,18.25,4.0,0.0
20210922:2010,0.0,0.0,0.0,17.35,3.86,0.0
20210922:2110,0.0,0.0,0.0,16.58,3.79,0.0
20210922:2210,0.0,0.0,0.0,15.93,4.0,0.0
20210922:2310,0.0,0.0,0.0,15.51,4.34,0.0
20210923:0010,0.0,0.0,0.0,15.39,4.55,0.0
20210923:0110,0.0,0.0,0.0,15.28,4.34,0.0
20210923:0210,0.0,0.0,0.0,15.04,4.07,0.0
20210923:0310,0.0,0.0,0.0,14.84,3.93,0.0
20210923:0410,0.0,0.0,0.0,14.45,3.79,0.0
20210923:0510,0.0,0.0,0.0,14.14,3.79,0.0
20210923:0610,0.0,0.0,0.0,13.85,3.79,0.0
20210923:0710,61.31,107.74,8.05,13.93,3.52,0.0
20210923:0810,284.17,359.68,18.88,15.32,3.52,0.0
20210923:0910,450.9,553.12,29.01,17.27,3.52,0.0
20210923:1010,574.39,714.07,37.83,19.27,3.66,0.0
20210923:1110,716.57,911.14,44.42,21.06,3.86,0.0
20210923:1210,757.38,983.54,47.63,22.63,3.38,0.0
20210923:1310,746.7,985.08,46.67,23.8,2.62,0.0
20210923:1410,675.85,879.7,41.79,24.52,2.97,0.0
20210923:1510,562.46,717.56,34.06,25.0,3.79,0.0
20210923:1610,408.17,520.36,24.55,25.03,4.0,0.0
20210923:1710,178.51,247.93,14.04,24.52,4.21,0.0
20210923:1810,6.89,23.07,3.05,23.21,5.03,0.0
20210923:1910,0.0,0.0,0.0,21.33,5.1,0.0
20210923:2010,0.0,0.0,0.0,20.25,5.24,0.0
20210923:2110,0.0,0.0,0.0,19.36,4.55,0.0
20210923:2210,0.0,0.0,0.0,18.74,3.66,0.0
20210923:2310,0.0,0.0,0.0,18.18,2.83,0.0
20210924:0010,0.0,0.0,0.0,17.75,2.41,0.0
20210924:0110,0.0,0.0,0.0,17.25,2.69,0.0
20210924:0210,0.0,0.0,0.0,16.92,3.1,0.0
20210924:0310,0.0,0.0,0.0,16.78,3.17,0.0
20210924:0410,0.0,0.0,0.0,16.55,3.03,0.0
20210924:0510,0.0,0.0,0.0,16.08,2.83,0.0
20210924:0610,0.0,0.0,0.0,15.68,2.28,0.0
20210924:0710,43.13,75.31,7.86,15.91,2.83,0.0
20210924:0810,252.68,323.64,18.67,16.74,2.69,0.0
20210924:0910,257.92,324.02,28.77,18.46,2.69,0.0
20210924:1010,333.56,420.39,37.55,20.21,2.0,0.0
20210924:1110,254.47,328.75,44.09,21.24,0.76,0.0
20210924:1210,452.91,576.16,47.25,21.35,1.93,0.0
20210924:1310,249.22,317.44,46.27,20.36,2.97,0.0
20210924:1410,585.58,732.0,41.4,19.01,3.17,0.0
20210924:1510,56.31,84.92,33.69,18.79,2.55,0.0
20210924:1610,114.5,155.12,24.2,18.43,1.45,0.0
20210924:1710,145.24,199.15,13.71,18.13,1.59,0.0
20210924:1810,0.26,6.46,2.72,17.78,1.79,0.0
20210924:1910,0.0,0.0,0.0,17.7,1.66,0.0
20210924:2010,0.0,0.0,0.0,16.7,2.21,0.0
20210924:2110,0.0,0.0,0.0,16.19,2.34,0.0
20210924:2210,0.0,0.0,0.0,15.8,2.07,0.0
20210924:2310,0.0,0.0,0.0,15.48,1.72,0.0
20210925:0010,0.0,0.0,0.0,15.19,1.17,0.0
20210925:0110,0.0,0.0,0.0,14.9,0.97,0.0
20210925:0210,0.0,0.0,0.0,14.51,1.1,0.0
20210925:0310,0.0,0.0,0.0,14.86,1.93,0.0
20210925:0410,0.0,0.0,0.0,14.76,3.38,0.0
20210925:0510,0.0,0.0,0.0,14.73,3.59,0.0
20210925:0610,0.0,0.0,0.0,14.81,3.45,0.0
20210925:0710,41.35,72.45,7.66,15.79,3.17,0.0
20210925:0810,86.91,120.95,18.45,16.27,3.52,0.0
20210925:0910,403.0,491.73,28.53,16.91,4.21,0.0
20210925:1010,498.71,609.87,37.26,17.17,4.0,0.0
20210925:1110,278.35,346.65,43.75,17.33,3.52,0.0
20210925:1210,626.99,779.7,46.87,17.3,3.45,0.0
20210925:1310,515.14,636.0,45.87,17.78,3.66,0.0
20210925:1410,496.0,611.75,41.01,18.33,3.79,0.0
20210925:1510,455.3,560.67,33.32,18.89,3.93,0.0
20210925:1610,383.55,472.17,23.85,18.09,4.41,0.0
20210925:1710,108.2,150.66,13.37,17.73,3.59,0.0
20210925:1810,3.23,15.04,2.39,17.29,3.03,0.0
20210925:1910,0.0,0.0,0.0,16.89,2.83,0.0
20210925:2010,0.0,0.0,0.0,16.41,2.69,0.0
20210925:2110,0.0,0.0,0.0,16.16,2.62,0.0
20210925:2210,0.0,0.0,0.0,16.05,2.34,0.0
20210925:2310,0.0,0.0,0.0,15.99,2.28,0.0
20210926:0010,0.0,0.0,0.0,15.91,2.21,0.0
20210926:0110,0.0,0.0,0.0,15.78,2.21,0.0
20210926:0210,0.0,0.0,0.0,15.63,2.34,0.0
20210926:0310,0.0,0.0,0.0,15.56,2.48,0.0
20210926:0410,0.0,0.0,0.0,15.47,2.69,0.0
20210926:0510,0.0,0.0,0.0,15.55,2.9,0.0
20210926:0610,0.0,0.0,0.0,15.57,3.1,0.0
20210926:0710,18.01,35.63,7.46,16.06,3.93,0.0
20210926:0810,211.15,270.01,18.23,16.47,4.69,0.0
20210926:0910,338.74,414.09,28.28,17.18,5.1,0.0
20210926:1010,174.45,224.02,36.98,18.02,5.66,0.0
20210926:1110,268.12,334.13,43.41,18.64,6.0,0.0
20210926:1210,228.83,288.59,46.49,18.68,5.86,0.0
20210926:1310,298.03,370.2,45.47,18.96,5.72,0.0
20210926:1410,216.34,274.01,40.62,18.9,5.59,0.0
20210926:1510,191.95,244.82,32.95,18.69,5.52,0.0
20210926:1610,203.89,258.44,23.5,18.53,5.52,0.0
20210926:1710,85.46,122.16,13.04,18.35,5.38,0.0
20210926:1810,0.0,1.85,2.07,17.88,5.24,0.0
20210926:1910,0.0,0.0,0.0,17.27,5.72,0.0
20210926:2010,0.0,0.0,0.0,16.97,5.72,0.0
20210926:2110,0.0,0.0,0.0,16.88,5.59,0.0
20210926:2210,0.0,0.0,0.0,16.82,5.45,0.0
20210926:2310,0.0,0.0,0.0,16.79,5.59,0.0
20210927:0010,0.0,0.0,0.0,16.72,6.0,0.0
20210927:0110,0.0,0.0,0.0,16.71,6.07,0.0
20210927:0210,0.0,0.0,0.0,16.85,6.21,0.0
20210927:0310,0.0,0.0,0.0,16.83,6.07,0.0
20210927:0410,0.0,0.0,0.0,16.76,4.62,0.0
20210927:0510,0.0,0.0,0.0,16.46,2.41,0.0
20210927:0610,0.0,0.0,0.0,16.24,2.07,0.0
20210927:0710,24.82,46.5,7.26,16.31,2.0,0.0
20210927:0810,98.13,134.74,18.02,16.41,2.28,0.0
20210927:0910,239.47,299.59,28.03,16.65,2.69,0.0
20210927:1010,604.14,750.85,36.69,17.18,2.76,0.0
20210927:1110,499.15,621.03,43.07,17.9,2.55,0.0
20210927:1210,706.51,906.47,46.11,18.76,2.28,0.0
20210927:1310,749.06,962.27,45.07,19.22,2.69,0.0
20210927:1410,678.91,855.67,40.23,19.44,3.38,0.0
20210927:1510,584.06,724.63,32.58,19.3,3.79,0.0
20210927:1610,409.77,508.56,23.15,19.14,3.79,0.0
20210927:1710,98.78,139.77,12.7,18.67,3.52,0.0
20210927:1810,0.0,3.69,1.74,18.03,3.59,0.0
20210927:1910,0.0,0.0,0.0,17.36,3.24,0.0
20210927:2010,0.0,0.0,0.0,16.85,3.17,0.0
20210927:2110,0.0,0.0,0.0,16.47,3.17,0.0
20210927:2210,0.0,0.0,0.0,16.09,3.03,0.0
20210927:2310,0.0,0.0,0.0,15.79,2.76,0.0
20210928:0010,0.0,0.0,0.0,15.61,2.69,0.0
20210928:0110,0.0,0.0,0.0,15.28,2.69,0.0
20210928:0210,0.0,0.0,0.0,15.14,2.69,0.0
20210928:0310,0.0,0.0,0.0,14.82,2.83,0.0
20210928:0410,0.0,0.0,0.0,14.52,2.9,0.0
20210928:0510,0.0,0.0,0.0,14.38,2.83,0.0
20210928:0610,0.0,0.0,0.0,14.07,2.62,0.0
20210928:0710,63.02,112.25,7.05,13.67,2.55,0.0
20210928:0810,273.02,345.15,17.8,14.26,2.48,0.0
20210928:0910,474.94,580.92,27.79,15.36,2.69,0.0
20210928:1010,635.21,786.39,36.4,16.37,3.03,0.0
20210928:1110,720.37,905.46,42.73,17.04,3.1,0.0
20210928:1210,741.27,940.23,45.72,17.55,2.97,0.0
20210928:1310,755.74,960.9,44.67,17.76,2.97,0.0
20210928:1410,691.8,867.19,39.84,17.86,3.31,0.0
20210928:1510,561.85,691.12,32.21,17.86,3.86,0.0
20210928:1610,394.45,486.22,22.81,17.55,3.72,0.0
20210928:1710,166.74,226.88,12.37,17.08,3.17,0.0
20210928:1810,0.0,1.85,1.41,16.43,2.48,0.0
20210928:1910,0.0,0.0,0.0,15.67,2.14,0.0
20210928:2010,0.0,0.0,0.0,14.66,1.38,0.0
20210928:2110,0.0,0.0,0.0,15.1,0.69,0.0
20210928:2210,0.0,0.0,0.0,14.88,0.83,0.0
20210928:2310,0.0,0.0,0.0,13.79,1.17,0.0
20210929:0010,0.0,0.0,0.0,12.99,1.31,0.0
20210929:0110,0.0,0.0,0.0,12.25,1.45,0.0
20210929:0210,0.0,0.0,0.0,11.89,1.52,0.0
20210929:0310,0.0,0.0,0.0,11.82,1.52,0.0
20210929:0410,0.0,0.0,0.0,11.65,1.59,0.0
20210929:0510,0.0,0.0,0.0,11.37,1.72,0.0
20210929:0610,0.0,0.0,0.0,11.64,1.66,0.0
20210929:0710,45.42,79.91,6.85,11.99,1.59,0.0
20210929:0810,188.56,243.19,17.58,14.64,1.17,0.0
20210929:0910,389.54,484.97,27.54,16.3,0.97,0.0
20210929:1010,565.79,709.96,36.1,17.29,1.72,0.0
20210929:1110,610.4,774.1,42.39,18.31,1.93,0.0
20210929:1210,485.62,611.14,45.34,19.05,2.0,0.0
20210929:1310,728.82,939.23,44.27,19.72,2.48,0.0
20210929:1410,627.91,793.62,39.45,20.05,2.97,0.0
20210929:1510,561.56,700.75,31.85,20.06,3.38,0.0
20210929:1610,255.64,322.54,22.46,19.87,3.79,0.0
20210929:1710,101.24,143.96,12.04,19.39,3.59,0.0
20210929:1810,0.0,0.0,0.0,18.45,3.66,0.0
20210929:1910,0.0,0.0,0.0,17.3,3.79,0.0
20210929:2010,0.0,0.0,0.0,16.43,3.79,0.0
20210929:2110,0.0,0.0,0.0,15.71,3.45,0.0
20210929:2210,0.0,0.0,0.0,15.04,3.24,0.0
20210929:2310,0.0,0.0,0.0,14.41,3.1,0.0
20210930:0010,0.0,0.0,0.0,13.89,2.97,0.0
20210930:0110,0.0,0.0,0.0,13.5,2.9,0.0
20210930:0210,0.0,0.0,0.0,13.14,2.97,0.0
20210930:0310,0.0,0.0,0.0,12.88,2.9,0.0
20210930:0410,0.0,0.0,0.0,12.55,2.83,0.0
20210930:0510,0.0,0.0,0.0,12.16,2.76,0.0
20210930:0610,0.0,0.0,0.0,11.86,2.83,0.0
20210930:0710,42.67,75.33,6.65,11.57,3.03,0.0
20210930:0810,145.91,188.52,17.36,12.23,2.83,0.0
20210930:0910,264.66,325.71,27.29,14.15,2.48,0.0
20210930:1010,619.7,771.72,35.81,16.12,2.28,0.0
20210930:1110,748.39,965.29,42.05,18.02,2.0,0.0
20210930:1210,767.98,1007.05,44.96,19.58,1.86,0.0
20210930:1310,757.74,990.71,43.88,20.63,2.21,0.0
20210930:1410,684.37,874.76,39.07,21.01,2.97,0.0
20210930:1510,583.42,731.94,31.48,20.86,3.45,0.0
20210930:1610,393.46,492.95,22.11,20.55,3.45,0.0
20210930:1710,163.37,226.2,11.71,19.85,3.52,0.0
20210930:1810,0.0,0.0,0.0,18.72,3.31,0.0
20210930:1910,0.0,0.0,0.0,17.38,3.03,0.0
20210930:2010,0.0,0.0,0.0,16.67,2.83,0.0
20210930:2110,0.0,0.0,0.0,16.13,3.17,0.0
20210930:2210,0.0,0.0,0.0,15.65,2.69,0.0
20210930:2310,0.0,0.0,0.0,15.4,2.14,0.0
20211001:0010,0.0,0.0,0.0,14.9,2.69,0.0
20211001:0110,0.0,0.0,0.0,14.43,2.55,0.0
20211001:0210,0.0,0.0,0.0,13.92,1.93,0.0
20211001:0310,0.0,0.0,0.0,13.79,1.66,0.0
20211001:0410,0.0,0.0,0.0,13.62,1.79,0.0
20211001:0510,0.0,0.0,0.0,13.23,1.72,0.0
20211001:0610,0.0,0.0,0.0,13.08,1.66,0.0
20211001:0710,27.73,51.37,6.44,13.16,1.66,0.0
20211001:0810,207.07,264.86,17.13,14.29,1.72,0.0
20211001:0910,280.05,347.62,27.03,15.67,1.59,0.0
20211001:1010,556.77,700.26,35.52,17.08,1.38,0.0
20211001:1110,524.54,665.62,41.71,18.35,1.17,0.0
20211001:1210,154.14,203.07,44.58,18.84,1.52,0.0
20211001:1310,138.83,184.61,43.48,19.21,2.28,0.0
20211001:1410,151.2,198.91,38.68,19.17,2.97,0.0
20211001:1510,157.65,205.93,31.12,18.93,3.1,0.0
20211001:1610,72.96,105.06,21.77,18.5,2.9,0.0
20211001:1710,43.51,69.39,11.38,18.19,2.55,0.0
20211001:1810,0.0,0.0,0.0,17.87,2.34,0.0
20211001:1910,0.0,0.0,0.0,17.47,1.31,0.0
20211001:2010,0.0,0.0,0.0,17.16,1.52,0.0
20211001:2110,0.0,0.0,0.0,17.02,2.07,0.0
20211001:2210,0.0,0.0,0.0,16.94,2.41,0.0
20211001:2310,0.0,0.0,0.0,16.9,2.62,0.0
20211002:0010,0.0,0.0,0.0,17.02,2.97,0.0
20211002:0110,0.0,0.0,0.0,16.83,3.1,0.0
20211002:0210,0.0,0.0,0.0,16.87,3.86,0.0
20211002:0310,0.0,0.0,0.0,16.82,4.0,0.0
20211002:0410,0.0,0.0,0.0,16.8,4.21,0.0
20211002:0510,0.0,0.0,0.0,16.79,3.93,0.0
20211002:0610,0.0,0.0,0.0,16.72,4.28,0.0
20211002:0710,7.7,20.31,6.23,16.94,4.14,0.0
20211002:0810,86.54,120.84,16.91,17.07,5.03,0.0
20211002:0910,91.43,126.2,26.78,17.23,5.79,0.0
20211002:1010,72.08,103.38,35.22,17.8,7.1,0.0
20211002:1110,154.02,200.04,41.36,18.17,7.45,0.0
